SurveyID,kV,HVL_meas,HVL_meter,,,,
1536,100,3.731724235,3.661964893,3.649577141,,,
1536,120,4.492528038,4.566987514,4.575004578,,,
1527,60,2.3258402,2.289259672,2.278441429,,,
1527,80,3.10535589,2.980077028,2.980199099,2.977217674,2.980162621,2.968960524
1527,100,3.948438477,3.838474512,3.833204985,,,
1527,120,4.746510015,4.798211575,4.785336494,,,
1506,60,2.437084954,1.580504417,1.582789779,,,
1506,80,3.231187046,3.063509703,3.059202194,3.05979681,3.060403109,3.061810493
1506,120,4.571454476,4.840997219,4.8351717,,,
1607,60,2.322239124,2.276949167,2.264531136,,,
1607,80,3.128321556,3.033269167,3.030258656,3.037124634,3.033042908,3.036448717
1607,100,3.96679091,3.729639769,3.726736784,,,
1607,120,4.822367445,4.623184204,4.611392975,,,
1606,60,2.244078134,2.258575678,2.241050482,,,
1606,80,3.059172911,3.050832033,3.063127518,3.042459726,3.034336329,3.047938824
1606,100,3.897742784,3.702951193,3.691105604,,,
1606,120,4.76123709,4.587014198,4.583220482,,,
1479,80,3.176675164,2.358231068,2.359251499,2.358185291,2.359162331,2.358003139
1490,60,2.299362037,2.263631821,2.244229078,,,
1490,80,2.999320913,2.863138437,2.866750479,2.886107445,2.88273263,2.881106377
1484,80,3.05442817,3.216413498,3.221641064,3.219843149,3.222112179,3.218752861
1505,60,2.295360697,2.27618742,2.225578547,,,
1505,80,2.982812359,2.87887001,2.870326281,2.876518488,2.886160612,2.884817123
1505,120,4.403105613,4.436618328,4.442703247,,,
1495,60,2.162544216,2.13408494,2.129578114,,,
1495,80,2.841989131,2.773966789,2.768393993,2.773253679,2.781110764,2.772291183
1495,120,4.092907282,4.03320694,4.033601284,,,
1475,80,3.032506473,2.353815079,2.349569321,2.350595236,2.355018139,2.353580952
1489,60,2.160163898,2.15196085,2.152553797,,,
1489,80,2.753741372,2.870976448,2.859368086,2.858202696,2.860797644,2.860420942
1489,120,3.850926755,4.414921761,4.409776688,,,
1478,80,2.917705859,2.309215307,2.310726166,2.307734728,2.307469845,2.309625149
1483,80,3.019607299,2.319377899,2.31986928,2.316155195,2.31819725,2.31946826
1488,60,2.22066865,2.242251635,2.347407818,,,
1488,80,2.964946308,3.111324072,3.115270376,3.126700878,3.112556696,3.109235525
1488,120,4.435171874,4.717449665,4.725850105,,,
1476,80,2.803954132,2.28522563,2.284920931,2.285517216,2.285922766,2.286203861
1480,80,3.258900647,2.364349365,2.367820978,2.374962807,2.364319801,2.371955872
1481,80,3.005190557,2.404406548,2.402931452,2.400897264,2.401850224,2.405748367
1637,60,2.267021477,2.268354416,2.299215555,,,
1637,80,3.09862671,3.07679987,3.063564062,3.086092949,3.070666313,3.076635361
1637,100,3.861034637,3.700059891,3.667754173,,,
1637,120,4.75317421,4.613740444,4.607284069,,,
1638,60,2.165192548,2.209639311,2.221344233,,,
1638,80,3.027550776,2.964988232,2.969456196,2.958625317,2.968791246,2.959703922
1638,100,3.66942751,3.527906179,3.524845123,,,
1638,120,4.54697978,4.43638134,4.438030243,,,
1487,80,3.187647139,3.135168552,3.127843618,3.142845392,3.129933834,3.13266778
1486,80,3.13047334,2.992014647,2.991146803,2.984095812,2.992949486,2.977674007
1485,80,3.481399416,2.15088439,2.151455402,2.15218854,2.152850151,2.149419546
1621,60,2.237556581,2.271206379,2.259845495,,,
1621,80,3.087086738,3.096605301,3.090873957,3.091657877,3.10488224,3.087043047
1621,100,3.824084409,3.714216232,3.69801116,,,
1621,120,4.686536831,4.617170334,4.617117405,,,
1560,60,2.223395251,2.166036129,2.168335915,,,
1560,80,2.925470011,2.868196011,2.869532108,2.877282381,2.868930578,2.881170034
1560,100,3.619656289,3.497233391,3.512828112,,,
1560,120,4.351955667,4.368243217,4.387713909,,,
1564,60,2.618995465,2.555168629,2.570761442,,,
1564,80,3.464487388,3.379707575,3.381123781,3.375079393,3.374464512,3.367187977
1564,100,4.33661272,4.257372379,4.240350723,,,
1564,120,5.236193539,5.212553024,5.208213329,,,
1695,60,2.225963835,2.144607544,2.15493083,,,
1695,80,2.954347439,2.884129763,2.881471634,2.882799387,2.878200531,2.887899637
1695,100,3.628066078,3.525736809,3.526222944,,,
1695,120,4.419587443,4.393875122,4.406742573,,,
1696,60,2.180206193,2.093802214,2.093159676,,,
1696,80,2.90814038,2.840172052,2.838354826,2.834218264,2.834461212,2.842837572
1696,100,3.590614487,3.582777977,3.460915089,,,
1696,120,4.35041127,4.303491592,4.302726269,,,
1697,60,2.221096663,2.078896999,2.069763184,,,
1697,80,2.98779378,2.800645828,2.81244421,2.811335802,2.810485601,2.813301325
1697,100,3.68501695,3.403194666,3.398011923,,,
1697,120,4.458682554,4.26852,4.269804,,,
1720,60,2.280401479,2.213881731,2.212348223,,,
1720,80,3.023797555,2.875211477,2.88574481,2.877085686,2.872766018,2.876750469
1720,100,3.723479386,3.614490271,3.603817463,,,
1720,120,4.431270733,4.446120262,4.459637165,,,
1721,60,2.269646606,2.160286427,2.145375013,,,
1721,80,2.977244087,2.79840517,2.805906296,2.802397251,2.789038181,2.801459312
1721,100,3.686944692,3.518360615,3.513920546,,,
1721,120,4.368314022,4.348489761,4.352916718,,,
1722,60,2.188445197,2.093407154,2.106140137,,,
1722,80,2.856034967,2.704105854,2.67374754,2.666908979,2.682078123,2.676783323
1722,100,3.564498456,3.301226616,3.323003769,,,
1722,120,4.290744356,4.140337944,4.149034977,,,
1818,60,2.189808425,2.13,2.13,,,
1818,80,2.931953941,2.82,2.82,2.82,2.82,2.81
1818,100,3.705781915,3.51,3.5,,,
1818,120,4.393762585,4.29,4.29,,,
1742,60,2.163437745,2.110093117,2.104143143,,,
1742,80,2.928401862,2.85717392,2.841714144,2.833677769,2.851613522,2.831545353
