SurveyID,60kV,80kV,100kV,120kV,Slope,Intercept,R2
1531,2.2235941037,2.9963888223,3.6808595626,4.4492108651,0.0368066051,0.0249188774,0.9994512397
1530,2.1940305963,2.9681671204,3.632981535,4.4071765786,0.0365212618,0.0136753949,0.9991042891
1532,2.2085063809,2.9568972852,3.6506543602,4.3991458917,0.036328378,0.0342469561,0.9997734656
1548,2.3005500403,2.9895603927,3.7212983228,4.5140353859,0.0368609698,0.0638737503,0.9990050249
1547,2.2409860361,2.9479542561,3.6709256132,4.4152729327,0.0362291602,0.0581602884,0.9998664069
1546,2.186340118,2.831481412,3.5347498794,4.237630969,0.0342857051,0.1118371355,0.9995728493
1491,2.1282540335,2.8046236295,,4.1908293502,0.0344160964,0.0585073179,0.9999638184
1634,2.1137123246,2.8337395433,3.6214535316,4.3227192961,0.0370736745,-0.1137245323,0.9995360766
1604,2.6949352585,3.6158025401,4.5148068919,5.3967293853,0.0450219337,0.0035944894,0.9999061948
1573,2.1285973253,2.869265291,3.6562775547,4.3270622366,0.036912035,-0.0767825471,0.999067878
1494,2.2451485246,3.0155297472,,4.4579267303,0.036762535,0.0534486322,0.9997261198
1620,2.1940254069,3.0142184627,3.6531754849,4.4825926702,0.0375232941,-0.0410934593,0.9975453915
1555,2.3418393054,3.151512804,,4.7508556337,0.0401264577,-0.0628904157,0.99999049
1520,2.3546087197,3.1821944854,,4.677075871,0.0385169643,0.0664894568,0.9993377423
1504,2.6024899017,3.4571563445,,5.4204275294,0.0472679346,-0.2698630758,0.9988968134
1519,2.3295953439,3.1080646689,,4.6353206143,0.038393418,0.030230653,0.9999771288
1536,2.2769880986,3.0507120948,3.7317242354,4.4925280377,0.0366381598,0.0905537355,0.9994305771
1527,2.3258402003,3.1053558903,3.9484384772,4.7465100149,0.0405254602,-0.1157552682,0.9997943755
1506,2.4370849539,3.2311870459,,4.5714544758,0.0352776626,0.3558447364,0.9981134543
1607,2.3222391242,3.1283215556,3.96679091,4.8223674447,0.0416942716,-0.1925546836,0.9998205322
1606,2.2440781336,3.059172911,3.8977427838,4.7612370901,0.0419502337,-0.2849633044,0.9998336093
1479,,3.1766751638,,,,,
1490,2.2993620374,2.9993209133,,,0.0349979438,0.1994854097,1
1484,,3.0544281704,,,,,
